# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-8.336,0,8.336,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,12207,2521.3,5.7227,0.0369,NaN,1630.6,NaN,0.0057206,356080,17.946,0,0.71196,0,0.5268,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.0053916
0.01,0,0,-5.3955,0,5.3955,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,12207,2521.3,5.7227,0.0369,NaN,1630.6,NaN,0.0056781,353438,53.839,0,0.71283,0,0.52767,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.0070111
0.02,0,0,-2.454,0,2.454,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,12205,2519.4,5.7221,0.036899,NaN,1630.5,NaN,0.0056357,350797,89.731,0,0.7137,0,0.52855,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.0077805
0.03,0,0,0.48853,0,0.48853,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,12203,2517.5,5.7215,0.036897,NaN,1630.4,NaN,0.0055933,348156,125.62,0,0.71459,0,0.52943,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.0087573
0.04,2.4479e-5,0.0048985,3.4319,0.0048985,3.4319,0,0,0,0,0,0,45,0,9.8062,89.851,0,0,0,12201,2515.7,5.7209,0.036896,NaN,1630.4,NaN,0.0055508,345516,161.52,0,0.71548,3.1298e-8,0.53033,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.0095548
0.05,2.4513e-4,0.039235,6.3762,0.039235,6.3762,0,0,0,0,0,0,45,0,9.8062,88.801,0,0,0,12199,2513.8,5.7203,0.036895,NaN,1630.3,NaN,0.0055096,342949,197.41,5.4027e-7,0.71636,1.6292e-5,0.53121,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.017894
0.06,9.5637e-4,0.10302,9.3214,0.10302,9.3214,0,0,0,0,0,0,45,0,9.8062,86.836,0,0,0,12197,2511.9,5.7197,0.036893,NaN,1630.3,NaN,0.005484,341355,233.3,9.6448e-6,0.71691,2.9356e-4,0.53176,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.019235
0.07,0.0024527,0.19626,12.268,0.19626,12.268,0,0,0,0,0,0,45,0,9.8062,83.953,0,0,0,12195,2510,5.7191,0.036892,NaN,1630.2,NaN,0.0054733,340691,269.19,6.5053e-5,0.71714,0.0019877,0.53199,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.02029
0.08,0.0050288,0.31896,15.215,0.31896,15.215,0,0,0,0,0,0,45,0,9.8062,80.174,0,0,0,12193,2508.1,5.7185,0.036891,NaN,1630.1,NaN,0.0054907,341770,305.09,2.6916e-4,0.71677,0.0081726,0.53161,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.021368
0.09,0.0089792,0.47114,18.162,0.47114,18.162,0,0,0,0,0,0,45,0,9.8062,75.566,0,0,0,12191,2506.3,5.7179,0.036889,NaN,1630.1,NaN,0.0055526,345626,340.98,8.2508e-4,0.71544,0.024496,0.53029,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.022553
